IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2789.0,17046.0,3504.0,33.5,64.4,23.4,16.6,16.4,18.9,24.7,79.0,9.1,0.0,7.0,2.6,2.3,33.7,535,77.0,19.6,3.4,0.0,10.5
4890.0,14763.0,1946.0,16.2,23.1,25.8,17.3,16.1,16.1,24.6,82.7,9.6,3.7,1.7,2.2,0.0,33.3,948,68.7,21.9,9.4,0.0,13.4
5139.0,17255.0,2776.0,30.4,45.5,22.4,12.7,35.9,11.9,17.1,80.3,17.0,0.0,0.5,0.0,2.2,21.4,1334,76.6,9.7,13.7,0.0,17.1
4920.0,13753.0,1797.0,32.5,53.5,13.5,22.0,31.0,10.6,23.0,87.6,9.8,0.0,0.4,0.7,1.4,18.7,710,84.2,12.7,2.4,0.7,8.7
8062.0,18980.0,2784.0,32.3,57.4,32.0,12.4,24.9,13.2,17.5,85.5,10.0,0.0,4.5,0.0,0.0,15.6,675,76.9,19.1,4.0,0.0,13.1
4860.0,21716.0,3071.0,13.7,18.4,42.1,13.7,15.3,11.3,17.6,88.3,9.2,0.0,0.0,0.0,2.5,19.6,876,57.2,31.2,11.2,0.5,7.6
7072.0,18699.0,2360.0,28.6,52.5,26.5,16.4,18.2,9.0,30.0,88.1,9.6,0.0,0.0,1.4,0.9,22.1,1338,72.3,22.3,5.5,0.0,27.5
6386.0,17690.0,2744.0,8.6,11.5,25.9,14.2,11.3,14.9,33.6,84.9,9.1,0.0,1.7,1.5,2.7,34.9,972,77.0,16.9,3.1,3.1,15.0
6244.0,19018.0,2668.0,23.9,32.4,21.4,13.0,11.0,29.9,24.7,89.6,7.6,0.4,0.0,2.0,0.4,30.6,2321,84.0,7.5,8.5,0.0,10.7
8792.0,22851.0,6334.0,15.7,32.1,21.0,16.4,24.4,12.6,25.5,77.8,20.0,0.6,0.0,0.6,1.1,32.9,2017,79.7,14.0,6.3,0.0,9.1
3149.0,15669.0,1614.0,14.2,25.7,20.6,24.0,20.6,16.3,18.6,81.4,14.9,0.7,1.1,1.8,0.1,22.7,2984,69.3,24.1,6.6,0.0,3.3
8667.0,19487.0,2076.0,19.1,28.5,27.7,14.0,21.8,12.4,24.2,82.7,10.9,0.0,4.5,0.1,1.9,29.3,3056,85.2,10.8,4.0,0.0,6.6
9484.0,21474.0,2496.0,19.3,40.7,38.5,9.8,22.7,13.5,15.5,87.5,10.0,0.0,0.0,0.0,2.5,32.5,2686,74.2,19.7,6.1,0.0,8.3
8297.0,20511.0,2197.0,14.1,14.1,25.3,17.8,17.2,14.9,24.7,85.0,8.2,0.1,0.9,0.9,4.8,34.8,1488,86.5,10.0,2.9,0.6,7.5
9655.0,17165.0,2087.0,28.0,40.4,21.5,10.7,22.4,11.7,33.7,86.3,12.1,0.0,0.1,0.2,1.3,37.7,1798,81.9,14.2,3.8,0.0,9.3
